id,review,sentiment
1,"Great quality, fast delivery, and amazing packaging. Rs.499 ?? SUPER!!! coooool",positive
2,Everything arrived on time and in perfect condition. ... visit https://example.com LOL,positive
3,The customer support was very helpful and polite. soooo @seller ??,positive
4,Fantastic value for money. Very satisfied! OMG ... #awesome,positive
5,I'm impressed with the durability and quality. coooool visit https://example.com,positive
6,This is one of the best purchases I've made. !!! @seller Rs.499 Order #12345,positive
7,Absolutely loved this product! It works perfectly and exceeded my expectations. LOL email me at test@example.com !!! :-) Best!!!,positive
8,"Great quality, fast delivery, and amazing packaging. :-) visit https://example.com coooool Best!!! Worst!!!",positive
9,"The design is beautiful, and the performance is excellent. email me at test@example.com @seller visit https://example.com Order #12345",positive
10,Everything arrived on time and in perfect condition. Worst!!! :-) ?? 100% visit https://example.com,positive
11,Absolutely loved this product! It works perfectly and exceeded my expectations. 100% Best!!!,positive
12,Absolutely loved this product! It works perfectly and exceeded my expectations. LOL @seller email me at test@example.com SUPER!!!,positive
13,Works exactly as described. Five stars! 100% ... Worst!!!,positive
14,"Great quality, fast delivery, and amazing packaging. didn't :(",positive
15,"The design is beautiful, and the performance is excellent. Worst!!! 100% OMG email me at test@example.com",positive
16,This is one of the best purchases I've made. didn't Worst!!! visit https://example.com :-) coooool,positive
17,Works exactly as described. Five stars! :( SUPER!!! Worst!!! ??,positive
18,Absolutely loved this product! It works perfectly and exceeded my expectations. :( 100% soooo,positive
19,"The design is beautiful, and the performance is excellent. Best!!! LOL",positive
20,"Great quality, fast delivery, and amazing packaging. :-) @seller",positive
21,Absolutely loved this product! It works perfectly and exceeded my expectations. !!! email me at test@example.com #awesome can't,positive
22,This is one of the best purchases I've made. visit https://example.com OMG ?? LOL,positive
23,Fantastic value for money. Very satisfied! ... @seller,positive
24,Absolutely loved this product! It works perfectly and exceeded my expectations. !!! can't :( Rs.499,positive
25,"The design is beautiful, and the performance is excellent. Order #12345 soooo OMG Worst!!!",positive
26,I highly recommend this item to everyone. Order #12345 soooo,positive
27,Works exactly as described. Five stars! !!! coooool soooo,positive
28,I'm impressed with the durability and quality. ?? didn't :(,positive
